,peer_count,client_count,arrival_time,te_count,cp_count,te_percent,te_percent_price,cp_percent,consensus,max,min,mean,res,docker_server_diff,date
0,4,50,0.5,10,10,100,100,100,noops,9.65345788002,3.9971678257,6.73821931727,"(1, (-1, None)), (1, (1006, 5.103187084197998)), (1, (1063, 4.895904064178467)), (2, (1046, 4.785650968551636)), (2, (1041, 4.9582839012146)), (3, (-1, None)), (4, (1114, 3.9971678256988525)), (5, (-1, None)), (5, (1075, 4.251029968261719)), (7, (1519, 6.8651440143585205)), (7, (1079, 4.306582927703857)), (8, (-1, None)), (8, (1061, 6.680816888809204)), (9, (1010, 6.8379130363464355)), (9, (-1, None)), (9, (1020, 7.695080041885376)), (9, (1053, 7.412968158721924)), (10, (-1, None)), (10, (1048, 8.736212015151978)), (10, (1009, 8.71732497215271)), (10, (1021, 8.812850952148438)), (10, (-1, None)), (10, (1033, 7.355468988418579)), (10, (1011, 9.283513069152832)), (11, (1019, 8.273068189620972)), (11, (1031, 8.363526821136475)), (12, (1015, 9.653457880020142)), (12, (1050, 9.249161958694458)), (12, (-1, None)), (13, (1130, 7.925090074539185)), (14, (1032, 7.650954961776733)), (15, (1032, 7.06384801864624)), (15, (1060, 6.880277156829834)), (16, (1008, 6.638109922409058)), (16, (-1, None)), (17, (-1, None)), (18, (1051, 6.674644947052002)), (19, (1047, 5.3158650398254395)), (20, (1033, 7.0279381275177)), (20, (1027, 6.707988977432251)), (21, (-1, None)), (23, (-1, None)), (23, (-1, None)), (24, (1038, 5.713712930679321)), (24, (1024, 5.6953699588775635)), (24, (-1, None)), (24, (1003, 5.141345977783203)), (25, (-1, None)), (25, (-1, None)), (26, (1098, 4.429996967315674))",1,1486022040.24
0,4,50,0.2,15,15,100,100,100,noops,20.0120828152,7.32333087921,14.3233546521,"(1, (1000, 7.323330879211426)), (1, (1001, 7.4725730419158936)), (1, (1003, 7.525040864944458)), (2, (1002, 11.763812065124512)), (2, (1002, 12.858695983886719)), (3, (1000, 12.548222064971924)), (3, (1046, 10.819996118545532)), (3, (1000, 8.225709915161133)), (3, (1002, 13.230394124984741)), (4, (1011, 12.056359052658081)), (4, (1021, 11.508583068847656)), (5, (1019, 12.78655195236206)), (5, (1012, 14.696900129318237)), (5, (1006, 16.110596895217896)), (5, (-1, None)), (5, (-1, None)), (6, (-1, None)), (6, (1104, 17.631601095199585)), (6, (-1, None)), (6, (1001, 17.402018070220947)), (6, (1013, 16.35439920425415)), (6, (1018, 16.416438817977905)), (6, (-1, None)), (6, (1011, 15.364275932312012)), (6, (1012, 18.849618911743164)), (6, (1004, 15.439426898956299)), (6, (1009, 14.417741060256958)), (6, (1010, 14.653249025344849)), (6, (1003, 17.434645891189575)), (6, (-1, None)), (6, (-1, None)), (6, (1033, 15.63266396522522)), (6, (1000, 13.144376039505005)), (6, (1000, 14.763880968093872)), (6, (1014, 20.012082815170288)), (6, (1021, 16.219369888305664)), (6, (1006, 17.002140998840332)), (7, (-1, None)), (8, (1065, 16.138818979263306)), (8, (-1, None)), (8, (1005, 15.959809064865112)), (8, (1034, 15.655627965927124)), (8, (1006, 14.463171005249023)), (9, (1033, 16.053375005722046)), (9, (1012, 15.930426120758057)), (9, (-1, None)), (10, (-1, None)), (10, (1016, 15.203635931015015)), (10, (-1, None)), (10, (1007, 15.21791696548462))",0,1486023674.49
0,4,50,0.1,15,15,100,100,100,noops,17.602370023699997,9.984280109410001,14.682635258,"(0, (1005, 10.99649715423584)), (0, (-1, None)), (0, (1014, 14.58062195777893)), (0, (1046, 9.984280109405518)), (0, (-1, None)), (0, (1020, 13.489221096038818)), (0, (-1, None)), (1, (1026, 14.300546169281006)), (1, (-1, None)), (1, (1100, 16.191182136535645)), (1, (1035, 16.27511715888977)), (1, (1008, 13.38508915901184)), (1, (1050, 17.4681179523468)), (1, (-1, None)), (2, (1016, 15.747740030288696)), (2, (1146, 12.642462015151978)), (2, (-1, None)), (2, (1062, 15.720494031906128)), (2, (-1, None)), (3, (1123, 14.268084049224854)), (3, (-1, None)), (3, (1056, 17.602370023727417)), (3, (-1, None)), (3, (1160, 16.224298000335693)), (3, (-1, None)), (3, (1011, 15.32532787322998)), (3, (-1, None)), (3, (1034, 16.421709060668945)), (3, (1002, 14.921478986740112)), (3, (-1, None)), (3, (-1, None)), (3, (1045, 14.790862798690796)), (3, (-1, None)), (3, (-1, None)), (3, (1005, 16.98740816116333)), (3, (1039, 13.152711868286133)), (3, (-1, None)), (3, (-1, None)), (3, (1026, 15.587597846984863)), (3, (-1, None)), (4, (1073, 14.79279613494873)), (4, (1027, 13.964915990829468)), (4, (1003, 14.706575870513916)), (4, (-1, None)), (4, (-1, None)), (4, (1098, 13.81209683418274)), (4, (-1, None)), (5, (1062, 14.50399899482727)), (5, (1017, 14.481663942337036)), (5, (1020, 13.47115707397461))",2,1486023973.67
0,4,50,0.5,15,15,100,100,100,noops,13.479001998900001,5.02333498001,10.0472777571,"(1, (1013, 5.171589136123657)), (1, (1008, 5.023334980010986)), (1, (1000, 5.434743165969849)), (2, (1001, 6.178060054779053)), (2, (1003, 6.43480110168457)), (3, (1002, 5.46280312538147)), (4, (1011, 5.189136028289795)), (5, (1000, 6.310553073883057)), (5, (1019, 7.34776496887207)), (7, (1028, 9.305913925170898)), (7, (1024, 8.272003889083862)), (8, (1006, 10.015184879302979)), (8, (1002, 10.257456064224243)), (9, (1000, 11.723550081253052)), (9, (1003, 10.26928186416626)), (9, (1008, 9.742640972137451)), (9, (1004, 8.325002908706665)), (10, (1001, 11.624011993408203)), (10, (1009, 10.860707998275757)), (10, (1002, 12.124082803726196)), (10, (1002, 10.72108793258667)), (10, (1007, 13.421469926834106)), (10, (1032, 12.778078079223633)), (10, (1016, 11.546687841415405)), (11, (1000, 10.910266160964966)), (11, (1004, 11.043010950088501)), (12, (1008, 13.2134690284729)), (12, (1019, 13.258239030838013)), (12, (1018, 11.217734098434448)), (13, (1000, 11.676620960235596)), (14, (-1, None)), (15, (1005, 11.894587993621826)), (15, (1005, 11.326354026794434)), (16, (1028, 10.60586404800415)), (16, (1001, 11.45397686958313)), (17, (1001, 13.479001998901367)), (18, (1003, 13.189512014389038)), (19, (1027, 12.76124906539917)), (20, (1008, 11.644466876983643)), (20, (1000, 12.163084983825684)), (21, (1021, 11.369771003723145)), (23, (1003, 9.222677946090698)), (23, (1009, 8.716078996658325)), (24, (1008, 8.349135875701904)), (24, (1004, 10.743950843811035)), (24, (1014, 10.560819149017334)), (24, (1004, 10.911143064498901)), (25, (1003, 10.94769811630249)), (25, (1019, 7.940868139266968)), (26, (1000, 10.177082061767578))",0,1486024331.92
0,4,100,0.5,15,15,100,100,100,noops,20.5122270584,4.07037806511,10.7348571972,"(0, (1006, 5.593895196914673)), (1, (1007, 6.178805112838745)), (1, (1011, 8.797245025634766)), (1, (1017, 5.168666839599609)), (1, (1036, 8.921542882919312)), (1, (1002, 6.4545838832855225)), (1, (1007, 7.51505184173584)), (1, (1008, 8.317538022994995)), (2, (1018, 7.821892976760864)), (2, (1002, 7.808257818222046)), (3, (1000, 7.568629026412964)), (3, (1013, 8.205145120620728)), (3, (1008, 7.242377996444702)), (4, (1008, 7.5391271114349365)), (5, (1008, 6.2733728885650635)), (6, (1010, 7.019787073135376)), (6, (-1, None)), (7, (1016, 6.146466970443726)), (7, (-1, None)), (8, (1041, 5.4841389656066895)), (9, (-1, None)), (10, (1012, 6.337265968322754)), (11, (-1, None)), (11, (1001, 6.528680086135864)), (12, (1005, 5.430801153182983)), (14, (1003, 4.888648986816406)), (14, (-1, None)), (15, (1002, 5.358734130859375)), (15, (1000, 5.302907943725586)), (15, (-1, None)), (15, (-1, None)), (16, (1022, 5.556659936904907)), (16, (1002, 5.324027061462402)), (17, (1029, 6.173506021499634)), (17, (1018, 6.031923055648804)), (18, (1013, 5.245260000228882)), (19, (1003, 4.94046688079834)), (19, (-1, None)), (22, (1022, 4.070378065109253)), (22, (-1, None)), (24, (1012, 5.638317108154297)), (25, (1013, 5.2227208614349365)), (27, (1015, 6.220580816268921)), (27, (1012, 4.982497930526733)), (27, (1002, 5.692458152770996)), (27, (1000, 5.918872117996216)), (27, (-1, None)), (28, (1002, 10.575799942016602)), (28, (1013, 9.453946828842163)), (29, (1023, 10.19756007194519)), (29, (1012, 8.113593101501465)), (29, (1002, 7.924161911010742)), (30, (1002, 9.350477933883667)), (30, (1008, 9.161208152770996)), (31, (1000, 7.17203688621521)), (32, (1006, 8.914690971374512)), (34, (1005, 12.87204098701477)), (34, (-1, None)), (34, (1004, 17.09678316116333)), (34, (1028, 14.419075965881348)), (34, (-1, None)), (34, (1002, 13.626221895217896)), (34, (1002, 16.20388913154602)), (35, (-1, None)), (35, (1000, 17.93865394592285)), (35, (1009, 17.954031944274902)), (36, (1013, 17.371440887451172)), (36, (1007, 17.082180976867676)), (36, (1004, 17.76325297355652)), (37, (1019, 17.12039804458618)), (37, (1018, 20.512227058410645)), (39, (1002, 16.04196000099182)), (39, (1014, 19.502848863601685)), (40, (-1, None)), (40, (1010, 17.663071155548096)), (40, (1003, 17.04882502555847)), (40, (1006, 15.845843076705933)), (40, (1003, 16.587954998016357)), (40, (1043, 18.247599124908447)), (40, (-1, None)), (40, (1058, 17.141840934753418)), (41, (1001, 17.48603320121765)), (41, (1000, 16.653172969818115)), (41, (1021, 16.14125394821167)), (42, (1000, 17.29654884338379)), (42, (-1, None)), (42, (1491, 15.545789003372192)), (42, (1019, 16.697109937667847)), (43, (-1, None)), (44, (1007, 15.688806056976318)), (44, (1034, 15.50926399230957)), (45, (-1, None)), (46, (1000, 14.100436925888062)), (47, (1000, 13.433565855026245)), (47, (1012, 13.283281087875366)), (48, (-1, None)), (50, (1006, 11.6424081325531)), (50, (1012, 11.730571985244751)), (51, (1012, 10.980653047561646)), (52, (1046, 11.509690999984741))",1,1486024653.91
0,4,10,0.5,1,1,100,100,100,noops,6.12454819679,3.8858320713,4.89018070698,"(0, (1752, 5.093938112258911)), (0, (1400, 4.646372079849243)), (0, (1006, 4.6691529750823975)), (0, (1971, 6.1245481967926025)), (0, (1390, 5.505388975143433)), (0, (1775, 5.5503089427948)), (1, (1782, 5.111543893814087)), (2, (1535, 4.274538993835449)), (3, (1331, 4.040182828903198)), (3, (1356, 3.8858320713043213))",1,1486025770.89
0,4,10,0.5,5,5,100,100,100,noops,6.46379303932,4.61781215668,5.650328183169999,"(0, (1003, 6.088673830032349)), (0, (1015, 5.322987079620361)), (0, (1035, 6.463793039321899)), (0, (1000, 5.14202094078064)), (0, (1047, 6.334950923919678)), (0, (1040, 6.309160947799683)), (1, (1022, 6.213742971420288)), (2, (1091, 5.278625965118408)), (3, (1027, 4.731513977050781)), (3, (1023, 4.617812156677246))",0,1486025847.01
0,4,10,0.5,10,10,100,100,100,noops,7.68102383614,5.27881097794,6.167800688740001,"(0, (1007, 5.74034309387207)), (0, (1011, 7.05265998840332)), (0, (1068, 5.4844629764556885)), (0, (1006, 5.411428928375244)), (0, (1032, 7.404639959335327)), (0, (1007, 7.681023836135864)), (1, (1000, 6.282701015472412)), (2, (1001, 5.840721130371094)), (3, (1000, 5.501214981079102)), (3, (1009, 5.278810977935791))",0,1486025912.01
0,4,10,0.5,20,20,100,100,100,noops,7.3138768672899985,4.903840065,5.718876695630001,"(0, (1049, 5.850054979324341)), (0, (1006, 5.417535066604614)), (0, (1006, 5.623610973358154)), (0, (1002, 7.3138768672943115)), (0, (1009, 5.988890171051025)), (0, (1000, 5.887290000915527)), (1, (1006, 5.975979804992676)), (2, (1059, 5.304332971572876)), (3, (1009, 4.923356056213379)), (3, (1005, 4.903840065002441))",0,1486025986.48
0,4,10,0.5,30,30,100,100,100,noops,33.1709530354,8.608625888819999,15.027601533499999,"(0, (1000, 8.608625888824463)), (0, (1001, 8.610315084457397)), (0, (1000, 13.67424488067627)), (0, (1000, 33.170953035354614)), (0, (1000, 13.885550022125244)), (0, (1001, 13.8212308883667)), (1, (1002, 14.041053056716919)), (2, (1001, 14.166934967041016)), (3, (-1, None)), (3, (1000, 15.269505977630615))",0,1486026207.13
0,4,10,0.5,50,50,100,100,100,noops,12.3487608433,7.352908134460001,10.28349635,"(0, (1014, 7.384274959564209)), (0, (1000, 12.348760843276978)), (0, (1003, 10.654060125350952)), (0, (1000, 7.352908134460449)), (0, (1002, 12.01261281967163)), (0, (1004, 11.1630859375)), (1, (1016, 11.725850820541382)), (2, (1007, 9.62641716003418)), (3, (-1, None)), (3, (-1, None))",0,1486026325.16
0,4,15,0.5,1,1,100,100,100,noops,6.652712106699999,4.57961678505,5.782695372899999,"(2, (1889, 5.774158954620361)), (2, (1734, 6.323394060134888)), (2, (1897, 6.187105894088745)), (2, (1784, 6.512616157531738)), (2, (1399, 5.155496835708618)), (2, (1415, 4.959649085998535)), (3, (1862, 6.641066789627075)), (3, (1147, 5.436079025268555)), (5, (1316, 5.087344169616699)), (6, (1542, 4.5796167850494385)), (6, (1497, 4.795557975769043)), (8, (1150, 6.4629127979278564)), (8, (1519, 6.652712106704712)), (8, (1358, 6.4260289669036865)), (9, (1128, 5.746690988540649))",0,1486026404.17
0,4,15,0.5,1,1,100,100,100,noops,6.3586561679799996,3.82476806641,5.10007786751,"(2, (-1, None)), (2, (1763, 5.506214141845703)), (2, (1221, 5.330326795578003)), (2, (1934, 4.957783937454224)), (2, (1658, 6.358656167984009)), (2, (-1, None)), (3, (1639, 5.539265155792236)), (3, (-1, None)), (5, (1939, 3.82476806640625)), (6, (1969, 4.668690204620361)), (6, (1626, 4.449202060699463)), (8, (-1, None)), (8, (1437, 5.011908054351807)), (8, (1460, 5.35396409034729)), (9, (-1, None))",1,1486027160.81
0,4,15,0.5,5,5,100,100,100,noops,6.9059369564100015,4.495058059690001,5.79500037829,"(2, (1014, 5.054412841796875)), (2, (1052, 6.90593695640564)), (2, (1055, 6.438474893569946)), (2, (1166, 5.2983238697052)), (2, (1051, 6.60918402671814)), (2, (1162, 6.19175910949707)), (3, (1041, 6.220765829086304)), (3, (1164, 5.5143492221832275)), (5, (1021, 4.957981824874878)), (6, (1004, 4.495058059692383)), (6, (1072, 4.755887985229492)), (8, (1163, 6.41134786605835)), (8, (1059, 6.512304067611694)), (8, (1040, 6.084804058074951)), (9, (1033, 5.474415063858032))",1,1486027283.83
0,4,15,0.5,10,10,100,100,100,noops,7.8308181762699975,5.08992290497,6.20343022346,"(2, (1002, 5.7172019481658936)), (2, (1011, 7.329918146133423)), (2, (1002, 5.59909987449646)), (2, (1016, 7.830818176269531)), (2, (1045, 5.287553071975708)), (2, (1000, 7.53214693069458)), (3, (1045, 7.4966089725494385)), (3, (1002, 7.20393705368042)), (5, (1061, 5.888195991516113)), (6, (1034, 5.287084102630615)), (6, (1013, 5.089922904968262)), (8, (1010, 5.462539196014404)), (8, (1006, 6.309288024902344)), (8, (1010, 5.261409044265747)), (9, (1011, 5.755729913711548))",0,1486027354.34
0,4,15,0.5,20,20,100,100,100,noops,7.01285505295,4.590744018550001,5.94787491285,"(2, (1004, 5.6859211921691895)), (2, (1002, 5.597296953201294)), (2, (1008, 6.872139930725098)), (2, (1007, 6.216838121414185)), (2, (1002, 7.012855052947998)), (2, (1025, 5.241956949234009)), (3, (1005, 6.479082107543945)), (3, (1001, 6.650130033493042)), (5, (1010, 5.69906210899353)), (6, (-1, None)), (6, (-1, None)), (8, (1023, 6.0246171951293945)), (8, (1036, 5.952704191207886)), (8, (1001, 4.5907440185546875)), (9, (1059, 5.299026012420654))",0,1486027436.2
0,4,15,0.5,30,30,100,100,100,noops,7.72268509865,5.4170858860000015,6.21041551232,"(2, (1003, 5.417085886001587)), (2, (-1, None)), (2, (1000, 5.472415924072266)), (2, (1000, 7.722685098648071)), (2, (-1, None)), (2, (1001, 6.484349966049194)), (3, (-1, None)), (3, (1010, 6.579215049743652)), (5, (-1, None)), (6, (-1, None)), (6, (1007, 6.3458311557769775)), (8, (-1, None)), (8, (1002, 5.855170965194702)), (8, (-1, None)), (9, (1002, 5.806570053100586))",1,1486027607.88
